ticker,category,bin,direction,p,y,gross_pnl,fee,net_pnl
KXTSAW-26APR26-A2.80,Economics,"(-0.001, 0.1]",1,0.03,0.0,-0.05,0.0033250000000000003,-0.053325000000000004
KXTSAW-26APR26-A2.60,Economics,"(-0.001, 0.1]",1,0.05,0.0,-0.07500000000000001,0.004856250000000001,-0.07985625000000002
KXAAAGASD-26APR27-4.120,Economics,"(-0.001, 0.1]",1,0.09,0.0,-0.58,0.017052000000000005,-0.5970519999999999
KXAAAGASW-26APR27-3.840,Economics,"(0.8, 0.9]",-1,0.82,1.0,-0.18500000000000005,0.010554250000000003,-0.19555425000000007
KXAAAGASD-26APR27-4.050,Economics,"(-0.001, 0.1]",1,0.01,1.0,0.505,0.01749825,0.48750175
KXAAAGASD-26APR27-4.055,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR27-4.060,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASW-26APR27-4.180,Economics,"(-0.001, 0.1]",1,0.06,0.0,-0.07999999999999999,0.005152,-0.08515199999999999
KXAAAGASW-26APR27-4.160,Economics,"(-0.001, 0.1]",1,0.05,0.0,-0.07,0.004557,-0.07455700000000001
KXAAAGASW-26APR27-4.140,Economics,"(-0.001, 0.1]",1,0.05,0.0,-0.065,0.00425425,-0.06925425
KXAAAGASW-26APR27-3.860,Economics,"(0.8, 0.9]",-1,0.82,1.0,-0.645,0.01602825,-0.66102825
KXAAAGASW-26APR27-4.100,Economics,"(-0.001, 0.1]",1,0.08,1.0,0.905,0.006018250000000001,0.89898175
KXAAAGASW-26APR27-4.080,Economics,"(-0.001, 0.1]",1,0.09,1.0,0.905,0.006018250000000001,0.89898175
KXAAAGASW-26APR27-3.980,Economics,"(0.4, 0.5]",-1,0.41,1.0,-0.615,0.016574250000000002,-0.63157425
KXAAAGASW-26APR27-4.120,Economics,"(-0.001, 0.1]",1,0.05,0.0,-0.065,0.00425425,-0.06925425
KXNBA3PT-26APR26LALHOU-HOUATHOMPSON1-1,Sports,"(0.2, 0.3]",-1,0.25,0.0,-0.2450000000000001,0.0006930000000000006,-0.2456930000000001
KXNBAMENTION-26APR26CLETOR-INJU,Mentions,"(0.9, 1.0]",-1,0.91,1.0,-0.5599999999999999,0.017248000000000003,-0.577248
KXNBAMENTION-26APR26CLETOR-GOAT,Mentions,"(0.2, 0.3]",-1,0.22,0.0,-0.22999999999999998,0.0006930000000000006,-0.23069299999999998
KXNBAMENTION-26APR26LALHOU-CROW,Mentions,"(0.9, 1.0]",-1,0.9132,0.0,0.6981999999999999,0.014750173200000001,0.6834498267999999
KXNBAMENTION-26APR26LALHOU-RETI,Mentions,"(0.2, 0.3]",-1,0.265,0.0,-0.18500000000000005,0.0006930000000000006,-0.18569300000000005
KXNBAMENTION-26APR26LALHOU-LARR,Mentions,"(0.3, 0.4]",-1,0.3518,0.0,-0.09820000000000007,0.0006930000000000006,-0.09889300000000006
KXBTC15M-26APR270245-45,Crypto,"(0.2, 0.3]",-1,0.2995,0.0,0.2945,0.0145438825,0.2799561175
KXWTACHALLENGERMATCH-26APR27MIKLAN-LAN,Sports,"(0.5, 0.6]",-1,0.58,1.0,-0.86,0.008428000000000001,-0.868428
KXNBAMENTION-26APR26BOSPHI-ROOK,Mentions,"(0.9, 1.0]",-1,0.91,1.0,-0.27999999999999997,0.014112,-0.294112
KXNBAMENTION-26APR26BOSPHI-TECH,Mentions,"(0.6, 0.7]",-1,0.69,0.0,0.24,0.012768,0.227232
KXNBAMENTION-26APR26BOSPHI-DRAF,Mentions,"(0.6, 0.7]",-1,0.64,1.0,-0.81,0.010772999999999998,-0.8207730000000001
KXATPCHALLENGERMATCH-26APR27FORNIC-FOR,Sports,"(0.5, 0.6]",-1,0.57,1.0,-0.835,0.009644250000000002,-0.84464425
KXNBAMENTION-26APR26SASPOR-INJU,Mentions,"(0.9, 1.0]",-1,0.91,1.0,-0.5599999999999999,0.017248000000000003,-0.577248
KXNBAMENTION-26APR26SASPOR-ROOK,Mentions,"(0.9, 1.0]",-1,0.91,1.0,-0.54,0.017388,-0.557388
KXNBAMENTION-26APR26SASPOR-NQE,Mentions,"(-0.001, 0.1]",1,0.01,0.0,-0.46,0.017388000000000004,-0.47738800000000003
KXNBAMENTION-26APR26SASPOR-GOAT,Mentions,"(0.3, 0.4]",-1,0.318,0.0,-0.1319999999999999,0.0006930000000000006,-0.1326929999999999
KXATPCHALLENGERMATCH-26APR27ROCPOT-POT,Sports,"(0.9, 1.0]",-1,0.94,1.0,-0.52,0.017472,-0.5374720000000001
KXTRUMPSAY-26APR27-AUTO,Mentions,"(0.7, 0.8]",-1,0.8,1.0,-0.345,0.015818250000000002,-0.36081824999999995
KXTRUMPSAY-26APR27-COMM,Mentions,"(0.3, 0.4]",-1,0.4,0.0,0.21999999999999997,0.012012,0.20798799999999998
KXTRUMPSAY-26APR27-EPST,Mentions,"(0.3, 0.4]",-1,0.4,1.0,-0.775,0.01220625,-0.78720625
KXTRUMPSAY-26APR27-TDS,Mentions,"(0.8, 0.9]",-1,0.84,0.0,0.665,0.015594250000000002,0.64940575
KXTRUMPSAY-26APR27-MARI,Mentions,"(0.5, 0.6]",-1,0.6,1.0,-0.585,0.016994250000000002,-0.60199425
KXTRUMPSAY-26APR27-MOG,Mentions,"(-0.001, 0.1]",1,0.05,0.0,-0.06,0.003948,-0.063948
KXTRUMPSAY-26APR27-ALLA,Mentions,"(0.3, 0.4]",-1,0.3938,0.0,0.2487999999999999,0.013082899199999998,0.2357171007999999
KXMLBMENTION-26APR25DETCIN-GREA,Mentions,"(0.9, 1.0]",-1,0.91,1.0,-0.33499999999999996,0.01559425,-0.35059424999999994
KXATHLETEMENTION-26APR26-TURN,Mentions,"(0.5, 0.6]",-1,0.54,1.0,-0.9099999999999999,0.0057330000000000055,-0.9157329999999999
KXATHLETEMENTION-26APR26-NQE,Mentions,"(-0.001, 0.1]",1,0.0117,0.0,-0.4617,0.0173973177,-0.4790973177
KXATHLETEMENTION-26APR26-ELEV,Mentions,"(0.3, 0.4]",-1,0.31,0.0,-0.1399999999999999,0.0006930000000000006,-0.1406929999999999
KXATHLETEMENTION-26APR26-BRON,Mentions,"(0.7, 0.8]",-1,0.78,0.0,0.33000000000000007,0.015477000000000003,0.31452300000000005
KXEARNINGSMENTIONVZ-26APR27-RURA,Mentions,"(0.3, 0.4]",-1,0.32,0.0,0.25,0.013125000000000001,0.236875
KXEARNINGSMENTIONDPZ-26APR27-SAME,Mentions,"(0.9, 1.0]",-1,0.928,1.0,-0.12199999999999994,0.007498119999999999,-0.12949811999999994
KXEARNINGSMENTIONDPZ-26APR27-AI,Mentions,"(0.3, 0.4]",-1,0.38,1.0,-0.7,0.014700000000000003,-0.7147
KXEARNINGSMENTIONDPZ-26APR27-AUTO,Mentions,"(0.2, 0.3]",-1,0.25,0.0,0.15000000000000002,0.008925000000000002,0.141075
KXEARNINGSMENTIONDPZ-26APR27-EMER,Mentions,"(0.4, 0.5]",-1,0.46,0.0,0.38,0.016492,0.363508
KXMLBMENTION-26APR25DETCIN-PITC,Mentions,"(0.3, 0.4]",-1,0.31,0.0,-0.135,0.0006930000000000006,-0.135693
KXNBAMENTION-26APR26LALHOU-KOBE,Mentions,"(0.3, 0.4]",-1,0.4,0.0,-0.050000000000000044,0.0006930000000000006,-0.050693000000000044
KXFIGHTMENTION-26APR25GARHER-CHOK,Mentions,"(0.7, 0.8]",-1,0.71,0.0,0.26,0.013468000000000003,0.246532
KXFIGHTMENTION-26APR25GARHER-NQE,Mentions,"(-0.001, 0.1]",1,0.0101,0.0,-0.4601,0.017388559300000005,-0.4774885593
KXFIGHTMENTION-26APR25STEZAL-NQE,Mentions,"(-0.001, 0.1]",1,0.0101,0.0,-0.4601,0.017388559300000005,-0.4774885593
KXINXU-26APR27H1200-T7139.9999,Financials,"(0.9, 1.0]",-1,0.9114,1.0,-0.10859999999999997,0.006776422799999998,-0.11537642279999998
KXNBAMENTION-26APR26CLETOR-LEGA,Mentions,"(0.3, 0.4]",-1,0.3511,0.0,-0.09889999999999999,0.0006930000000000006,-0.09959299999999999
KXSECPRESSMENTION-26MAY07-GAS,Mentions,"(0.7, 0.8]",-1,0.78,0.0,0.3500000000000001,0.015925000000000005,0.33407500000000007
KXSECPRESSMENTION-26MAY07-ISRA,Mentions,"(0.4, 0.5]",-1,0.5,0.0,0.07000000000000006,0.004557000000000005,0.06544300000000006
KXSECPRESSMENTION-26MAY07-EPIC,Mentions,"(0.4, 0.5]",-1,0.4948,0.0,0.06479999999999997,0.004242067199999999,0.06055793279999997
KXSECPRESSMENTION-26MAY07-AMER,Mentions,"(0.3, 0.4]",-1,0.33,0.0,-0.09999999999999987,0.0006930000000000006,-0.10069299999999987
KXSECPRESSMENTION-26MAY07-CEAS,Mentions,"(0.4, 0.5]",-1,0.4889,0.0,0.05889999999999995,0.003880155299999997,0.05501984469999995
KXSECPRESSMENTION-26MAY07-CALI,Mentions,"(0.9, 1.0]",-1,0.98,0.0,0.495,0.017498250000000003,0.47750175
