scope,price_def,n_markets,flb_stat,flb_ci_lo,flb_ci_hi,flb_p_two_sided,logit_intercept,logit_slope,slope_ci_lo,slope_ci_hi
ALL,first_trade_price,63498,-0.08109730641204017,-0.0903004296151273,-0.0718291482085708,0.0,-0.1691776915215315,0.8045614856066217,0.7878759210967541,0.8223795504945195
Crypto,first_trade_price,16386,-0.005914834118235372,-0.018702136242918055,0.006743661192934331,0.328,-0.05632126981534983,0.9794688753400068,0.9436784269998884,1.012406858120077
Economics,first_trade_price,6256,-0.08224691814922994,-0.10975170395060659,-0.05356633407096347,0.0,-0.04455326654945404,0.7611489289117036,0.710149568030191,0.8214748988054456
Entertainment,first_trade_price,169,-0.0983893333333333,-0.3853022588522589,0.1333322889412175,0.45229681978798586,-0.9794992735631565,0.8683750696369993,0.6237673079387356,1.3424141284823066
Financials,first_trade_price,11759,-0.036790544511920396,-0.05944425342074917,-0.016899208626286633,0.0,-0.02377883930492035,0.8810939100834169,0.8408001969557307,0.9289347748360268
Mentions,first_trade_price,14906,-0.17262159863685178,-0.1976182775078053,-0.14849026558672995,0.0,-0.3208055934758984,0.6829641606844242,0.6433760674927631,0.7180575561984308
Politics,first_trade_price,6153,-0.1349733109097384,-0.18305619143707025,-0.09286408342275734,0.0,-0.3341854350406522,0.7410987933636054,0.6792563694166627,0.8060732462091653
Science and Technology,first_trade_price,732,-0.08381614583333333,-0.194987642254838,0.0029637656343223994,0.063,0.5504718784275209,0.8601620052414279,0.6716022451290139,1.1583506631615466
Sports,first_trade_price,7115,-0.16923441190607533,-0.208370807418056,-0.13104629980774438,0.0,-0.17844199230045124,0.7470512806361804,0.6931007895040647,0.8000475659693111
ALL,first_day_vwap,59002,0.11698248037117204,0.11245030009666634,0.12144531673009809,0.0,-0.09879662670938501,1.7158321986607716,1.6772487204425843,1.7537227195793352
Crypto,first_day_vwap,16341,0.16512826499619435,0.16131405308330227,0.16904198822738584,0.0,0.12787246078856035,2.8959219860015195,2.7853851969902736,3.021800064191329
Economics,first_day_vwap,4881,0.03539955213107793,0.018195883692669217,0.0515243477033993,0.0,-0.14929677636346736,1.1546116838351423,1.079013804420851,1.2442807726881628
Financials,first_day_vwap,11585,0.16669488929010817,0.15874528135614732,0.17416221719995628,0.0,-0.024261312596973197,2.441646856071954,2.3260880198348066,2.579251395469222
Mentions,first_day_vwap,14195,0.10853134979772236,0.0979064437412348,0.11861369409865932,0.0,-0.2804191944854058,1.5380247943822318,1.475174373279025,1.5938610245578921
Politics,first_day_vwap,4606,-0.036798602298270644,-0.08790879442699175,0.011443015181607136,0.149,-0.21019087103447984,0.9702557493809392,0.8761234669801605,1.083191162615646
Science and Technology,first_day_vwap,529,0.04189064453356517,-0.03977347008914321,0.10346495884279332,0.272,0.5243637341645869,1.155069692310913,0.9281238948687883,1.5414696823528442
Sports,first_day_vwap,6767,0.08395476301191336,0.06297944044468862,0.10436710789501397,0.0,-0.08963888342090555,1.4792892561654105,1.4013593998053844,1.5624974043050577
ALL,life10_vwap,53772,0.06841661634818287,0.06120662394693008,0.07563175539340193,0.0,-0.15165522631134867,1.347955937718837,1.3160318442399077,1.3780577667991802
Crypto,life10_vwap,16034,0.163542655033876,0.15950765881571607,0.1672438016567846,0.0,0.11825181863928118,2.7470937583002013,2.632567356502947,2.875374986887943
Economics,life10_vwap,4946,0.007410614609650848,-0.015405486008122542,0.02857805581203684,0.491,-0.09615881580915313,1.024523112587921,0.9556657526553608,1.1139344120197707
Entertainment,life10_vwap,138,0.04584044305989629,-0.06832546570768477,0.2197505098091474,0.4423607280750138,-0.9204312144477435,1.3611704626195458,1.1100560238207464,1.9554268336210312
Financials,life10_vwap,11222,0.14743950839321535,0.13684067526101248,0.15736788142085406,0.0,-0.029933857523401358,2.045105072229416,1.9477785728733736,2.151283332009
Mentions,life10_vwap,10932,-0.07983145772735717,-0.10700204681405089,-0.0539382349376822,0.0,-0.32639194611138245,0.8725181456941785,0.8271285352477544,0.9278334346979987
Politics,life10_vwap,5321,-0.014827471198153273,-0.0685766799931489,0.0324748543340453,0.603,-0.20545610677200368,1.001985842810614,0.9106772108706082,1.0998151215307639
Science and Technology,life10_vwap,650,0.06664223001741723,-0.00034228759061346876,0.11576326660829615,0.053,0.763381091876309,1.3360767914879237,1.0822908961961049,1.813985522223738
Sports,life10_vwap,4512,-0.11604091756302881,-0.1616096045788061,-0.06874287113986374,0.0,-0.15884657462060867,0.8360161117655133,0.7778669043622382,0.9062234703089348
