ticker,life_minutes,first_trade_price,first_trade_minute,first_trade_frac,open_spread,open_mid,n_candles,first_day_vwap,first_day_volume,life10_vwap,life10_volume,category
KXFOOTBALL1001-25-SBAR,89537.4,0.33,2252.0,0.025151500937038603,0.07999999999999999,0.25,1367,,0.0,0.48510584070796453,565.0,World
KXFOOTBALL1001-25-ABRO,89537.4,,,,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-MGAR,89537.4,0.01,77155.0,0.8617069515085317,0.06,0.03,1231,,0.0,,0.0,World
KXFOOTBALL1001-25-THEN,89537.4,0.01,64283.0,0.7179457969518883,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-SGAR,89537.4,,,,0.05,0.025,1228,,0.0,,0.0,World
KXFOOTBALL1001-25-GKIT,89537.4,,,,0.05,0.025,1310,,0.0,,0.0,World
KXFOOTBALL1001-25-CLAM,89537.4,0.01,56041.0,0.6258948774478598,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-TWAT,89537.4,0.01,84581.0,0.9446443609039352,0.05,0.025,1283,,0.0,,0.0,World
KXFOOTBALL1001-25-MPAR,89537.4,0.01,82532.0,0.9217600689767629,0.05,0.025,1310,,0.0,,0.0,World
KXFOOTBALL1001-25-JJEF,89537.4,0.1,45330.0,0.5062688887548668,0.05,0.025,1232,,0.0,,0.0,World
KXFOOTBALL1001-25-DLAW,89537.4,,,,0.05,0.025,1310,,0.0,,0.0,World
KXFOOTBALL1001-25-BBOW,89537.4,,,,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-PMAH,89537.4,0.39,438.0,0.0048918105730119486,0.08000000000000002,0.35,1369,0.261121063394683,489.0,0.25471620839363246,691.0,World
KXFOOTBALL1001-25-CHUM,89537.4,,,,0.05,0.025,1310,,0.0,,0.0,World
KXFOOTBALL1001-25-JGIB,89537.4,0.058,59824.0,0.6681453783558603,0.05,0.025,1310,,0.0,,0.0,World
KXFOOTBALL1001-25-LJOH,89537.4,,,,0.05,0.025,1228,,0.0,,0.0,World
KXFOOTBALL1001-25-DHEN,89537.4,0.04,64281.0,0.7179234599173083,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-PSEW,89537.4,,,,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-LJAC,89537.4,0.22,3329.0,0.037179994058348806,0.07,0.155,1367,,0.0,0.20083333333333334,24.0,World
KXFOOTBALL1001-25-TWIR,89537.4,,,,0.05,0.025,1310,,0.0,,0.0,World
KXFOOTBALL1001-25-CJON,89537.4,,,,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-THIL,89537.4,,,,0.07,0.035,1310,,0.0,,0.0,World
KXFOOTBALL1001-25-JCAR,89537.4,0.01,50392.0,0.5628039232767537,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-PSUR,89537.4,0.02,49304.0,0.5506525764652537,0.05,0.025,1211,,0.0,,0.0,World
KXFOOTBALL1001-25-JALL,89537.4,0.26,10468.0,0.11691203899152756,0.07999999999999999,0.2,1363,,0.0,,0.0,World
KXFOOTBALL1001-25-FWAR,89537.4,,,,0.05,0.025,1289,,0.0,,0.0,World
KXFOOTBALL1001-25-TWIL,89537.4,,,,0.05,0.025,1036,,0.0,,0.0,World
