category,bin,n,mean_drift,ci_lo,ci_hi,significant
Crypto,"(-0.001, 0.1]",3307,-0.0002561838524342339,-0.007880865726396697,0.007143246417063695,False
Crypto,"(0.1, 0.2]",1852,-0.0036938984881209505,-0.019510974444256392,0.012425748078017338,False
Crypto,"(0.2, 0.3]",1304,-0.022569555214723928,-0.04533772365467018,-0.0011123051362183945,True
Crypto,"(0.3, 0.4]",1369,-0.0023860482103725423,-0.02869607543334418,0.023344472732478524,False
Crypto,"(0.4, 0.5]",1978,-0.005681648129423652,-0.02670194409534814,0.016451399563337188,False
Crypto,"(0.5, 0.6]",2050,-0.01402717073170732,-0.03541264163548745,0.006468254805983251,False
Crypto,"(0.6, 0.7]",1138,-0.010768365553602813,-0.03924497794866454,0.019391878735309804,False
Crypto,"(0.7, 0.8]",729,-0.0266997256515775,-0.059792682175078014,0.004899256807151014,False
Crypto,"(0.8, 0.9]",778,-0.00989961439588689,-0.037756109670661765,0.013660627942431688,False
Crypto,"(0.9, 1.0]",1881,-0.004955608718766603,-0.01515420171252842,0.004353389024704073,False
Economics,"(-0.001, 0.1]",1290,0.040622248062015504,0.02069814098845265,0.06415535326446521,True
Economics,"(0.1, 0.2]",593,0.0429531197301855,0.003402596706473481,0.07951958907403046,True
Economics,"(0.2, 0.3]",422,0.02175450236966824,-0.023958366907437138,0.06776249295226185,False
Economics,"(0.3, 0.4]",385,-0.016561298701298712,-0.06697148149980214,0.031167816151269647,False
Economics,"(0.4, 0.5]",508,-0.04849389763779526,-0.101017140677828,0.007343907056238467,False
Economics,"(0.5, 0.6]",441,0.038308390022675734,-0.032020424776966754,0.09434274742268041,False
Economics,"(0.6, 0.7]",374,-0.018943850267379686,-0.07043909580052495,0.030792939547349612,False
Economics,"(0.7, 0.8]",381,-0.04756561679790027,-0.09622512648757853,-0.0003499602638522616,True
Economics,"(0.8, 0.9]",653,-0.05725482388973966,-0.09635617237207254,-0.01828645331768522,True
Economics,"(0.9, 1.0]",1209,-0.03699139784946236,-0.05562171235569256,-0.020204908086354938,True
Entertainment,"(-0.001, 0.1]",58,-0.030620689655172416,-0.061111111111111116,-0.0044098484848484895,True
Financials,"(-0.001, 0.1]",1354,0.010951920236336779,-0.003502960748550734,0.026877145689694754,False
Financials,"(0.1, 0.2]",1129,0.0072448184233835245,-0.01711747200692612,0.03210570751433251,False
Financials,"(0.2, 0.3]",937,0.0213649946638207,-0.008730319027846805,0.04937769024014764,False
Financials,"(0.3, 0.4]",912,0.024475548245614022,-0.00910078299135878,0.057762653339961924,False
Financials,"(0.4, 0.5]",1423,-0.011683415319746995,-0.040859711301632254,0.01712463684769568,False
Financials,"(0.5, 0.6]",1463,-0.009070061517429943,-0.03729515734942281,0.01972516723085509,False
Financials,"(0.6, 0.7]",1059,-0.005821340887629836,-0.037409632271500105,0.02470388535190036,False
Financials,"(0.7, 0.8]",1120,-0.017103035714285727,-0.04430196120930363,0.010635762717123331,False
Financials,"(0.8, 0.9]",1186,-0.018105649241146705,-0.04228701787198669,0.005962888462087671,False
Financials,"(0.9, 1.0]",1176,-0.03863945578231292,-0.056945417747613664,-0.021253218824062246,True
Mentions,"(-0.001, 0.1]",837,0.08194862604540024,0.057014622933543355,0.11107679038703012,True
Mentions,"(0.1, 0.2]",986,0.013616632860040575,-0.01057054826151986,0.0385260534124629,False
Mentions,"(0.2, 0.3]",1403,-0.03420121168923735,-0.05687732110957851,-0.012955784556145194,True
Mentions,"(0.3, 0.4]",1578,-0.04690798479087453,-0.07009370795675963,-0.023404397087331195,True
Mentions,"(0.4, 0.5]",1862,-0.08743979591836734,-0.10961449389350102,-0.06519911147181537,True
Mentions,"(0.5, 0.6]",1557,-0.09432845215157352,-0.1205717282463249,-0.06643070022347673,True
Mentions,"(0.6, 0.7]",1518,-0.10503050065876152,-0.130792728312859,-0.07814722887322104,True
Mentions,"(0.7, 0.8]",1515,-0.13082270627062706,-0.15599054100078216,-0.10577561788097224,True
Mentions,"(0.8, 0.9]",2371,-0.1349624630957402,-0.15478834871230693,-0.1140845123484191,True
Mentions,"(0.9, 1.0]",1279,-0.11603197810789684,-0.14095544092039236,-0.09142491577333792,True
Politics,"(-0.001, 0.1]",1617,0.007310636982065548,-0.004554736317539433,0.019660168300993458,False
Politics,"(0.1, 0.2]",1115,-0.019604484304932737,-0.041431582125724994,0.0026727349724664034,False
Politics,"(0.2, 0.3]",725,-0.006724137931034478,-0.04291360979611109,0.02956313204148008,False
Politics,"(0.3, 0.4]",461,-0.01501757049891541,-0.06501087982152702,0.03876622575975505,False
Politics,"(0.4, 0.5]",489,-0.060839877300613486,-0.1161490382017085,-0.012234309554331751,True
Politics,"(0.5, 0.6]",348,0.009195402298850564,-0.04931292978702148,0.06837174586526826,False
Politics,"(0.6, 0.7]",321,-0.08236853582554517,-0.152513737523604,-0.019078364965936345,True
Politics,"(0.7, 0.8]",404,-0.08189678217821783,-0.15905234935113788,-0.014137981016560403,True
Politics,"(0.8, 0.9]",350,-0.11983085714285716,-0.18190798502326402,-0.06127493751216902,True
Politics,"(0.9, 1.0]",323,-0.16736315789473685,-0.2446310203313253,-0.10817455858102609,True
Science and Technology,"(-0.001, 0.1]",212,0.001283018867924523,-0.02241284562211982,0.02873756609152843,False
Science and Technology,"(0.4, 0.5]",59,0.10399661016949154,-0.1342194637681159,0.25227236111111107,False
Science and Technology,"(0.5, 0.6]",100,0.27574099999999996,0.13735569268292683,0.35863497989367504,True
Science and Technology,"(0.6, 0.7]",79,0.21900126582278484,0.06156688640808343,0.2900528782547502,True
Science and Technology,"(0.8, 0.9]",53,-0.005881132075471694,-0.1608728096562184,0.10120415955934613,False
Science and Technology,"(0.9, 1.0]",87,-0.11102873563218392,-0.2520216248016922,-0.019079644744160195,True
Sports,"(-0.001, 0.1]",1247,0.014048676824378504,0.0008405819590312716,0.0274808174018554,True
Sports,"(0.1, 0.2]",917,0.007803162486368595,-0.01566297467420732,0.03483849763405071,False
Sports,"(0.2, 0.3]",738,-0.018833604336043367,-0.05146095993171852,0.012773547119487895,False
Sports,"(0.3, 0.4]",755,0.016427152317880788,-0.019386842800528416,0.05028585097873139,False
Sports,"(0.4, 0.5]",1000,0.006492000000000022,-0.026342858831238946,0.037403964686601544,False
Sports,"(0.5, 0.6]",954,-0.04630702306079665,-0.07649677921050839,-0.011932593144962403,True
Sports,"(0.6, 0.7]",582,-0.02957061855670104,-0.06717122184534302,0.008361218145619995,False
Sports,"(0.7, 0.8]",385,-0.04665402597402597,-0.09149632195191064,-0.0012746583468614746,True
Sports,"(0.8, 0.9]",304,-0.09981578947368422,-0.14875294407894735,-0.05327886228178739,True
Sports,"(0.9, 1.0]",233,-0.22872918454935623,-0.28332931481993184,-0.1723700751072961,True
